group,feature,weight
Abu Sayyaf Group (ASG),abu sayyaf,2.9008543992787192
Abu Sayyaf Group (ASG),sayyaf,2.80221262405921
Abu Sayyaf Group (ASG),abu,2.0810073189975418
Abu Sayyaf Group (ASG),asg,1.551803116066591
Abu Sayyaf Group (ASG),sayyaf group,1.5193180876869865
Abu Sayyaf Group (ASG),sulu,1.2411041160566052
Abu Sayyaf Group (ASG),philippines,1.2404929075456343
Abu Sayyaf Group (ASG),basilan,1.2252655115183115
Abu Sayyaf Group (ASG),group asg,1.1283894386577598
Abu Sayyaf Group (ASG),the abu,1.0213815533114239
Abu Sayyaf Group (ASG),zamboanga,0.9287950258302923
Abu Sayyaf Group (ASG),jolo,0.8582762940286303
Abu Sayyaf Group (ASG),country philippines,0.8126105412202564
Abu Sayyaf Group (ASG),philippines attack_type,0.8126105412202564
Abu Sayyaf Group (ASG),sayyaf militants,0.7627776975586341
Abu Sayyaf Group (ASG),southeast asia,0.7287294751033329
Abu Sayyaf Group (ASG),region southeast,0.7287294751033329
Abu Sayyaf Group (ASG),southeast,0.7209102206031991
Abu Sayyaf Group (ASG),malaysia,0.6310328012448206
Abu Sayyaf Group (ASG),basilan province,0.6143235907131332
Abu Sayyaf Group (ASG),in zamboanga,0.5983597054729427
Abu Sayyaf Group (ASG),suspected abu,0.5415179675009485
Abu Sayyaf Group (ASG),town basilan,0.5405393176040477
Abu Sayyaf Group (ASG),group,0.49965538448215263
Abu Sayyaf Group (ASG),zamboanga city,0.4820364367211982
Abu Sayyaf Group (ASG),basilan philippines,0.4746091072293534
Abu Sayyaf Group (ASG),crew,0.4645841668723526
Abu Sayyaf Group (ASG),sulu philippines,0.4641643604838035
Abu Sayyaf Group (ASG),ransom,0.44742507918884794
Abu Sayyaf Group (ASG),sulu province,0.42351559148616924
Al-Aqsa Martyrs Brigade,aqsa,3.0892797275813013
Al-Aqsa Martyrs Brigade,al aqsa,3.0892797275813013
Al-Aqsa Martyrs Brigade,martyrs,2.2933854193266585
Al-Aqsa Martyrs Brigade,aqsa martyrs,2.0988766965169905
Al-Aqsa Martyrs Brigade,martyrs brigade,1.4816554638498531
Al-Aqsa Martyrs Brigade,brigades,1.433642299992877
Al-Aqsa Martyrs Brigade,brigade,1.287801377098834
Al-Aqsa Martyrs Brigade,aqsa brigades,1.0018843426508697
Al-Aqsa Martyrs Brigade,the al,0.9994925054282255
Al-Aqsa Martyrs Brigade,agents,0.7690696149791835
Al-Aqsa Martyrs Brigade,martyrs brigades,0.7541565554677512
Al-Aqsa Martyrs Brigade,al,0.7257812171198452
Al-Aqsa Martyrs Brigade,israeli,0.593898735059803
Al-Aqsa Martyrs Brigade,nablus,0.532789793736551
Al-Aqsa Martyrs Brigade,palestine,0.5292384948538621
Al-Aqsa Martyrs Brigade,israel,0.4931845448420552
Al-Aqsa Martyrs Brigade,launching,0.48118254446266817
Al-Aqsa Martyrs Brigade,brigade and,0.47359085413570373
Al-Aqsa Martyrs Brigade,for launching,0.467823100682274
Al-Aqsa Martyrs Brigade,of nablus,0.453226621149315
Al-Aqsa Martyrs Brigade,israeli town,0.4514954664364876
Al-Aqsa Martyrs Brigade,brigades claimed,0.4501912878167355
Al-Aqsa Martyrs Brigade,when he,0.44925922211339364
Al-Aqsa Martyrs Brigade,at the,0.4490994802956545
Al-Aqsa Martyrs Brigade,bank palestine,0.4365677563505872
Al-Aqsa Martyrs Brigade,the brigades,0.41514656499072167
Al-Aqsa Martyrs Brigade,statement,0.40945567272018435
Al-Aqsa Martyrs Brigade,buraq,0.39721555309529294
Al-Aqsa Martyrs Brigade,martyr,0.3952590393380417
Al-Aqsa Martyrs Brigade,of al,0.39372979785303147
Al-Nusrah Front,al nusrah,3.2082959674137705
Al-Nusrah Front,nusrah,3.2082959674137705
Al-Nusrah Front,nusrah front,3.031187904082518
Al-Nusrah Front,front,2.2186651151983336
Al-Nusrah Front,front claimed,1.7336933808976054
Al-Nusrah Front,nusra,1.2515903852764658
Al-Nusrah Front,al nusra,1.2515903852764658
Al-Nusrah Front,al,1.0759691402543228
Al-Nusrah Front,nusra front,1.0734830362550467
Al-Nusrah Front,front and,0.9036435339280167
Al-Nusrah Front,syria,0.8720031328652501
Al-Nusrah Front,to al,0.7705260320755752
Al-Nusrah Front,the al,0.6368608012502492
Al-Nusrah Front,mazzeh,0.5890596979725343
Al-Nusrah Front,foley,0.5511598980575797
Al-Nusrah Front,alawite,0.5164490330052385
Al-Nusrah Front,ahrar al,0.5150054154384712
Al-Nusrah Front,syria attack_type,0.5120268366374503
Al-Nusrah Front,country syria,0.5120268366374503
Al-Nusrah Front,neighborhood aleppo,0.4421838728881796
Al-Nusrah Front,governorate syria,0.42905589743209677
Al-Nusrah Front,syria at,0.42905114008482215
Al-Nusrah Front,car,0.42532932402428114
Al-Nusrah Front,ahrar,0.4179387531565165
Al-Nusrah Front,06 2016,0.4127707929606232
Al-Nusrah Front,front ahrar,0.39880304778089914
Al-Nusrah Front,09 06,0.37875503734296473
Al-Nusrah Front,2012,0.3774926997243964
Al-Nusrah Front,in aleppo,0.3766372655922972
Al-Nusrah Front,governorate lebanon,0.37651117990043576
Al-Qaida in Iraq,iraq,2.6785461038289413
Al-Qaida in Iraq,in iraq,2.5825843766287453
Al-Qaida in Iraq,qaeda,1.7108678476329477
Al-Qaida in Iraq,iraq attack_type,1.6856046402218776
Al-Qaida in Iraq,country iraq,1.6856046402218776
Al-Qaida in Iraq,al qaeda,1.6680380897847407
Al-Qaida in Iraq,al qaida,1.6650641277566252
Al-Qaida in Iraq,qaida,1.6650641277566252
Al-Qaida in Iraq,al,1.5620363997989073
Al-Qaida in Iraq,qaida in,1.503112642469223
Al-Qaida in Iraq,2005,1.0482176869837032
Al-Qaida in Iraq,baghdad,0.8298377000856698
Al-Qaida in Iraq,baghdad iraq,0.7720998065350887
Al-Qaida in Iraq,iraqi,0.7712972010279215
Al-Qaida in Iraq,2012,0.7161929168487021
Al-Qaida in Iraq,zarqawi,0.6917690398990297
Al-Qaida in Iraq,qa ida,0.6915731683611416
Al-Qaida in Iraq,ida,0.6915731683611416
Al-Qaida in Iraq,the country,0.6496500524147631
Al-Qaida in Iraq,al qa,0.6417874269146264
Al-Qaida in Iraq,qa,0.6411388693681966
Al-Qaida in Iraq,diyala province,0.6368079236435843
Al-Qaida in Iraq,al zarqawi,0.6232502279595535
Al-Qaida in Iraq,aqi,0.6013152039802148
Al-Qaida in Iraq,website,0.5799555770829076
Al-Qaida in Iraq,2013 03,0.5705100299148926
Al-Qaida in Iraq,iraq aqi,0.5501814171084718
Al-Qaida in Iraq,iraq suspected,0.5471344722746239
Al-Qaida in Iraq,iraq claimed,0.5428387492719859
Al-Qaida in Iraq,iraq is,0.5352262080004682
Al-Qaida in the Arabian Peninsula (AQAP),the arabian,2.336024960997937
Al-Qaida in the Arabian Peninsula (AQAP),arabian,2.2442850808994725
Al-Qaida in the Arabian Peninsula (AQAP),arabian peninsula,2.2046965078869043
Al-Qaida in the Arabian Peninsula (AQAP),peninsula,2.1694350626662757
Al-Qaida in the Arabian Peninsula (AQAP),aqap,2.1645753267497954
